               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12696,            0.025724,             0.05979,                   0,                   0,                   0,                   0,             0.12229,            0.021765,            0.058638,              0.0946,              0.0006,              0.0006
                   1,             0.12169,             0.02364,            0.057113,                   0,                   0,                   0,                   0,             0.11491,            0.018355,            0.054905,            0.088294,           0.0012936,           0.0012936
                   2,             0.11107,             0.02227,            0.052598,                   0,                   0,                   0,                   0,             0.10737,             0.01615,            0.050985,             0.08198,           0.0019802,           0.0019802
                   3,             0.10542,            0.022209,            0.049017,          0.00080197,             0.26667,           0.0083439,           0.0025176,             0.10389,            0.014187,            0.048469,             0.07566,           0.0026599,           0.0026599
                   4,             0.10234,             0.02135,            0.044277,          0.00057597,             0.21667,            0.021458,           0.0043272,             0.10218,            0.012346,            0.043588,            0.069333,           0.0033327,           0.0033327
                   5,            0.097181,            0.020931,            0.039801,           0.0013691,             0.36667,            0.018027,           0.0038343,            0.096409,            0.011941,             0.03927,            0.062999,           0.0039985,           0.0039985
                   6,            0.088637,            0.020853,            0.033809,           0.0011645,             0.44167,            0.023372,           0.0071649,            0.095015,            0.011587,            0.033449,            0.056657,           0.0046574,           0.0046574
                   7,            0.086435,            0.021625,            0.027452,          0.00098897,             0.44167,             0.01802,           0.0050236,            0.096459,            0.011153,            0.029976,            0.050309,           0.0053094,           0.0053094
                   8,            0.078732,            0.020625,            0.023485,           0.0014164,             0.51439,            0.085022,            0.039822,            0.095176,           0.0099197,            0.025899,            0.043954,           0.0059545,           0.0059545
                   9,            0.086155,            0.019948,            0.020219,             0.35965,             0.29167,             0.15152,            0.030215,            0.090922,           0.0098841,            0.023108,            0.037593,           0.0065926,           0.0065926
                  10,            0.084302,            0.022384,            0.017825,             0.41552,             0.29167,             0.15919,            0.076058,            0.094592,           0.0090255,            0.021042,            0.031224,           0.0072238,           0.0072238
                  11,            0.082449,            0.019349,            0.018115,             0.33458,             0.29167,             0.10577,            0.038264,            0.096194,           0.0081576,            0.018396,            0.024848,           0.0078481,           0.0078481
                  12,            0.077717,            0.019687,            0.014584,             0.51282,            0.083333,            0.033751,            0.012469,            0.094045,           0.0081976,            0.017569,            0.018465,           0.0084654,           0.0084654
                  13,            0.078677,            0.020699,             0.01434,             0.82027,            0.083333,            0.079656,            0.024182,             0.09449,           0.0080812,            0.016258,            0.012076,           0.0090758,           0.0090758
                  14,            0.083757,            0.018851,            0.012449,             0.81943,            0.083333,            0.092934,            0.021502,            0.093286,           0.0077463,            0.016282,            0.009307,            0.009307,            0.009307
                  15,            0.076039,             0.01797,            0.011219,             0.80691,             0.12602,              0.1232,            0.057706,            0.089333,           0.0079044,            0.016204,            0.009307,            0.009307,            0.009307
                  16,            0.072346,            0.019462,            0.011564,             0.86584,            0.083333,             0.18905,             0.05483,            0.089891,           0.0078212,            0.016296,           0.0092575,           0.0092575,           0.0092575
                  17,            0.071387,            0.018819,            0.010639,             0.88582,             0.16667,             0.22207,            0.065853,            0.086246,           0.0080405,            0.017172,            0.009208,            0.009208,            0.009208
                  18,            0.065295,            0.018498,            0.012042,             0.98585,             0.16667,             0.35947,             0.11197,             0.09291,           0.0071787,             0.01725,           0.0091585,           0.0091585,           0.0091585
                  19,            0.070241,            0.017486,           0.0096379,                   1,             0.16182,             0.43231,             0.17863,            0.081929,           0.0079462,            0.018667,            0.009109,            0.009109,            0.009109
                  20,            0.067173,            0.016888,           0.0093155,             0.68669,             0.29167,             0.39403,             0.16475,            0.082231,           0.0078907,            0.018549,           0.0090595,           0.0090595,           0.0090595
                  21,            0.063547,            0.017309,           0.0076746,             0.98614,             0.16667,             0.28535,            0.060337,            0.083071,            0.007988,            0.018134,             0.00901,             0.00901,             0.00901
                  22,            0.065618,            0.015704,           0.0079882,             0.99061,             0.16667,             0.42595,             0.18635,            0.084984,           0.0073091,            0.017238,           0.0089605,           0.0089605,           0.0089605
                  23,            0.062711,            0.015527,           0.0080631,             0.47394,             0.31439,             0.37302,             0.18415,            0.079271,           0.0072526,            0.018323,            0.008911,            0.008911,            0.008911
                  24,            0.057563,            0.017109,           0.0085699,             0.52678,             0.29167,             0.45311,             0.13961,            0.077996,           0.0073423,            0.018182,           0.0088615,           0.0088615,           0.0088615
                  25,             0.05582,            0.017012,           0.0071775,             0.97341,             0.16667,             0.30336,             0.16951,            0.087689,           0.0067031,            0.018359,            0.008812,            0.008812,            0.008812
                  26,            0.062415,            0.015341,           0.0063412,             0.24628,             0.54547,             0.38948,             0.12761,            0.077474,           0.0072349,            0.018247,           0.0087625,           0.0087625,           0.0087625
                  27,            0.058867,            0.014939,           0.0061264,              0.4613,             0.33712,             0.34288,             0.14146,            0.077324,           0.0078494,            0.018627,            0.008713,            0.008713,            0.008713
                  28,            0.058676,            0.015752,           0.0060368,             0.21892,             0.52361,             0.34749,             0.17885,            0.076051,           0.0078841,            0.019007,           0.0086635,           0.0086635,           0.0086635
                  29,            0.055646,            0.013681,           0.0059296,             0.13708,             0.36439,             0.30467,             0.18627,            0.078081,           0.0072555,            0.019326,            0.008614,            0.008614,            0.008614
                  30,            0.055724,            0.012137,           0.0057415,             0.42897,             0.38402,             0.37663,              0.1745,            0.078717,           0.0069098,            0.020327,           0.0085645,           0.0085645,           0.0085645
                  31,            0.053848,            0.013673,           0.0060947,             0.38579,             0.43625,             0.41738,              0.2093,            0.074039,           0.0067609,             0.01967,            0.008515,            0.008515,            0.008515
                  32,            0.055038,            0.013263,           0.0069337,             0.70821,             0.31439,             0.44314,             0.18203,            0.071834,           0.0068014,            0.019621,           0.0084655,           0.0084655,           0.0084655
                  33,            0.051784,            0.012912,           0.0061335,             0.56072,             0.33712,             0.43223,             0.27388,             0.07735,           0.0066518,            0.018727,            0.008416,            0.008416,            0.008416
                  34,             0.05468,            0.013424,            0.006226,             0.64255,             0.35985,             0.45188,             0.25311,            0.076631,           0.0068824,            0.016188,           0.0083665,           0.0083665,           0.0083665
                  35,            0.048485,            0.013088,             0.00604,              0.3935,             0.45985,             0.43659,             0.23971,            0.071857,           0.0069868,            0.015789,            0.008317,            0.008317,            0.008317
                  36,            0.051606,            0.011352,           0.0053882,             0.43044,             0.48258,             0.46816,              0.1722,            0.071513,            0.006985,              0.0147,           0.0082675,           0.0082675,           0.0082675
                  37,            0.047684,             0.01402,           0.0050112,              0.2403,             0.44258,             0.43567,             0.15604,             0.07551,           0.0070561,            0.015273,            0.008218,            0.008218,            0.008218
                  38,             0.05066,            0.011449,           0.0042578,             0.37557,             0.45249,             0.42606,             0.22046,            0.074144,           0.0066655,            0.015977,           0.0081685,           0.0081685,           0.0081685
